,[kg],[mm],[C],[m/s],[W/kg body mass]
Name,BodyMass,SVL,Temp,Velocity,Power
Os208,0.004713,47.2,20,3.2,280.796659
Os279,0.00482,49.32,20,2.975,244.2760255
Os182,0.004846,46.6,20,2.77,181.7793031
Os202,0.00486,48.5,20,2.99,245.5928823
Os240,0.004962,42.7,10,2.345,125.9006922
Os184,0.004963,46.9,20,2.615,160.8665826
Os147,0.005007,46.4,10,1.275,16.05045976
Os158,0.005018,47.8,20,2.715,187.385546
Os271,0.005079,48.69,20,2.815,227.7709624
Os209,0.005146,49.2,20,2.755,181.8023123
Os282,0.005166,47.74,20,3.02,247.5952733
Os129,0.005256,48.5,10,2.32,95.10213114
Os180,0.00527,46,20,3.13,219.332871
Os207,0.00529,49.8,20,3.305,1151.88202
Os108,0.005297,48.9,30,2.99,226.6618926
Os306,0.00532,47.44,10,2.18,94.27495813
Os205,0.005345,51.1,20,2.57,121.9537813
Os323,0.005345,47.06,10,2.64,171.0869128
Os230,0.005375,47.8,10,2.465,153.098325
Os137,0.005377,49.2,10,1.98,78.49553493
Os131,0.005413,46.3,10,2.275,112.8239019
Os112,0.005447,46.2,30,3.365,293.5249909
Os041,0.00546,48,30,3.32,317.4736404
Os190,0.005484,48.4,20,2.25,81.71821001
Os106,0.005503,49.2,30,3.325,299.9332882
Os095,0.005504,45.3,30,2.93,194.9637798
Os099,0.00555,48.9,30,3.315,243.692742
Os096,0.005568,42.9,30,3.465,522.7336857
Os089,0.005591,47.6,30,3.315,312.7362749
Os234,0.005638,46.2,10,2.42,144.5691983
Os072,0.005718,48.1,30,3,212.2810533
Os189,0.005725,50.6,20,2.515,138.0797804
Os245,0.005816,51.67,20,2.78,182.1236389
Os267,0.005838,49.03,20,2.79,178.328123
Os145,0.005976,47.3,10,2.42,133.6466831
Os039,0.006,48,30,3.36,353.2627991
Os101,0.006026,49.4,30,3.035,252.7842484
Os204,0.00607,51.5,20,2.305,95.9888527
Os278,0.006078,47.05,20,3.02,235.765119
Os119,0.006119,49,30,3.09,252.3750592
Os201,0.006153,51.2,20,2.95,184.5566658
Os117,0.006156,52.9,30,3.58,329.3252229
